startDate,endDate,dataType,data,unit
2015-02-01 08:00:00 +0000,2015-02-02 08:00:00 +0000,HKQuantityTypeIdentifierStepCount,9379,count
2015-02-02 08:00:00 +0000,2015-02-03 08:00:00 +0000,HKQuantityTypeIdentifierStepCount,1911,count
